orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0.05273437;-0.2148437;-0.9414062;1;0;0.03333334;1;Moved;457.49;185.624;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08398438;-0.2421875;-0.9335937;1;0;0.03333334;1;Moved;407.2541;181.3017;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08593749;-0.2636718;-0.9765624;1;0;0.03333334;1;Moved;365.1977;175.1332;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1113281;-0.2636718;-0.9316406;1;0;0.03333334;1;Moved;319.0917;164.1353;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1191406;-0.2578125;-0.9257812;1;0;0.03333334;1;Moved;290.2873;142.1587;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1054687;-0.2421875;-0.9374999;1;0;0.03333334;1;Moved;277.8375;107.2031;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1035156;-0.25;-0.9179688;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;-0.0234375;-0.2167969;-0.9179688;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09765624;-0.2382812;-0.9277343;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.109375;-0.2597656;-0.9589843;1;0;0.03333334;1;Stationary;507.1541;265.2775;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09179687;-0.2265625;-0.9453124;1;0;0.03333334;1;Moved;477.511;234.6938;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08593749;-0.21875;-0.9628906;1;0;0.03333334;1;Moved;451.499;202.1561;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.078125;-0.2128906;-0.9628906;1;0;0.03333334;1;Moved;443.4686;189.7422;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0703125;-0.2128906;-0.9746093;1;0;0.03333334;1;Moved;445.1042;200.4579;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.078125;-0.2265625;-0.9746093;1;0;0.03333334;1;Moved;453.9708;242.4005;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05273437;-0.2246094;-0.9843749;1;0;0.03333334;1;Moved;463.9575;289.6383;;;;;;;GS_ISLAND;;;;;;
